gokv_task_id;gokv_tasktype;gokv_ordered_date;mitglied_kvnr;mitglied_name;mitglied_vorname;mitglied_titel;mitglied_vswort;mitglied_zswort;mitglied_gebdat
5C3847A0526B11E78DEF549CF4B14D54;eka;16.06.2017;W101746545;Hefiomaar;Ute-Christine;;;;05.09.1985
5C386EB0526B11E78DEF549CF4B14D54;eka;16.06.2017;H101234396;UOAIO;Andranik Michael;;;;09.09.1990
5C386EB1526B11E78DEF549CF4B14D54;eka;16.06.2017;O101720052;Rimenspenger;Lenca;;;;22.12.1997
5C386EB2526B11E78DEF549CF4B14D54;eka;16.06.2017;L100059543;Brudt;Angelina Sophie;;;;25.11.1957
5C386EB3526B11E78DEF549CF4B14D54;eka;16.06.2017;Z101072667;VOITSPÄHL;John Luca;;;;05.06.1960
5C386EB4526B11E78DEF549CF4B14D54;eka;16.06.2017;A100737739;Dwerailnath;Michael Karl;;;;19.11.1954
5C386EB5526B11E78DEF549CF4B14D54;eka;16.06.2017;V101638482;DÄITT;Josephie;;;;01.01.1966
5C386EB6526B11E78DEF549CF4B14D54;eka;16.06.2017;F100740724;FUROSRR;Joachim Robert Friedrich;;;;23.07.1986
5C3895C0526B11E78DEF549CF4B14D54;eka;16.06.2017;V100325006;Kekaa;Milijada;;;;05.12.1963
5C3895C1526B11E78DEF549CF4B14D54;eka;16.06.2017;I100645263;RORRINS;Kea Marie;;;;14.01.1973
5C3895C2526B11E78DEF549CF4B14D54;eka;16.06.2017;P101221446;Kemmindoener;Monika Birgit;;;;29.11.1969
5C3895C3526B11E78DEF549CF4B14D54;eka;16.06.2017;N101618089;KEFFKAI;Said Ahmet;;;;08.08.1985
5C3895C4526B11E78DEF549CF4B14D54;eka;16.06.2017;L101026762;Siätten;Cassen;;;;18.10.1947
5C3895C5526B11E78DEF549CF4B14D54;eka;16.06.2017;R100524733;Huninelmp;Tanja Simone;;;;03.04.1955
5C3895C6526B11E78DEF549CF4B14D54;eka;16.06.2017;K100732285;Zützoss;Anna Mareike;;;;30.08.1976
5C3895C7526B11E78DEF549CF4B14D54;eka;16.06.2017;N100837839;HÄSERZ;Heinz-Henning;;;;25.08.1964
5C3895C8526B11E78DEF549CF4B14D54;eka;16.06.2017;W101095099;Reätbauin;Nedjmije;;;;21.09.1959
5C38BCD0526B11E78DEF549CF4B14D54;eka;16.06.2017;M101286307;Dr. Juhn;Chrysostomos;;;;22.01.2009
5C38BCD1526B11E78DEF549CF4B14D54;eka;16.06.2017;Q101806667;SRRRENDT;Adrian Walter;;;;06.10.1969
5C38BCD2526B11E78DEF549CF4B14D54;eka;16.06.2017;I100109189;Thälmeyer;Jie;;;;12.02.1943
5C38BCD3526B11E78DEF549CF4B14D54;eka;16.06.2017;C101711564;SUITBEEN;Jonte Thorbjörn;;;;23.06.1991
5C38BCD4526B11E78DEF549CF4B14D54;eka;16.06.2017;F100429686;Soipei;Luisa-Marie;;;;29.02.1972
5C38BCD5526B11E78DEF549CF4B14D54;eka;16.06.2017;I100944569;Gynthin-Henke;Junko;;;;14.11.1961
5C38BCD6526B11E78DEF549CF4B14D54;eka;16.06.2017;H101305576;CUFFINS;Luljeta;;;;30.12.1976
5C38BCD7526B11E78DEF549CF4B14D54;eka;16.06.2017;L100843698;VOINTHELER;Dietrich-Rainer;;;;07.05.1988
5C38BCD8526B11E78DEF549CF4B14D54;eka;16.06.2017;E100259719;Geraäß-Grottnin;Manuela Elisabeth;;;;08.11.1981
5C38E3E0526B11E78DEF549CF4B14D54;eka;16.06.2017;Y101064682;Pstrdnin;Birgit Isabel;;;;08.12.1977
5C38E3E1526B11E78DEF549CF4B14D54;eka;16.06.2017;D100682220;Nuvelsilaa;Mintscho;;;;05.09.1964
5C38E3E2526B11E78DEF549CF4B14D54;eka;16.06.2017;Y100477156;Kiäsmeyer;Theresa Maria;;;;27.12.1957
5C38E3E3526B11E78DEF549CF4B14D54;eka;16.06.2017;N101213154;Hünin;Ana-Sofia;;;;05.03.1965
5C38E3E4526B11E78DEF549CF4B14D54;eka;16.06.2017;D101505495;Däboega;KLAUS;;;;09.04.1957
5C38E3E5526B11E78DEF549CF4B14D54;eka;16.06.2017;W100512791;MÖVINS;Abdulaziz;;;;27.11.1971
5C38E3E6526B11E78DEF549CF4B14D54;eka;16.06.2017;P100725953;DOMEN;Julian Oliver;;;;03.05.1968
5C38E3E7526B11E78DEF549CF4B14D54;eka;16.06.2017;X101301873;Kleänki;Catherina;;;;11.05.1965
5C38E3E8526B11E78DEF549CF4B14D54;eka;16.06.2017;N100707455;EBCHI;Tim-Manuel;;;;01.12.1985
5C390AF0526B11E78DEF549CF4B14D54;eka;16.06.2017;Q100509312;Hebinmehl;Abdalbary;;;;04.03.1967
5C390AF1526B11E78DEF549CF4B14D54;eka;16.06.2017;I101620347;Böslin;Adriana;;;;16.07.2006
5C390AF2526B11E78DEF549CF4B14D54;eka;16.06.2017;E101127622;Meirel;Wernholt;;;;14.04.1973
5C390AF3526B11E78DEF549CF4B14D54;eka;16.06.2017;R100242431;Guzsovocs;Laurentiu-Dumitru;;;;16.03.1958
5C390AF4526B11E78DEF549CF4B14D54;eka;16.06.2017;Y101424268;Tetimeyer;Abdel Salam;;;;11.10.1950
5C390AF5526B11E78DEF549CF4B14D54;eka;16.06.2017;X100831522;Xyzhi;Mohei;;;;10.05.1963
5C390AF6526B11E78DEF549CF4B14D54;eka;16.06.2017;U100431883;BURNIFCHD;Klaus Josef;;;;03.08.1943
5C390AF7526B11E78DEF549CF4B14D54;eka;16.06.2017;N100540310;VOITSPÄHL;Paulin;;;;16.12.1945
5C390AF8526B11E78DEF549CF4B14D54;eka;16.06.2017;B100126659;Zwopf;Birgit Isabel;;;;18.08.1954
5C393200526B11E78DEF549CF4B14D54;eka;16.06.2017;T101605212;Hurecik;Frederike;;;;01.02.1965
5C393201526B11E78DEF549CF4B14D54;eka;16.06.2017;M101675861;GRUBISSEN;Noah Dylan;;;;22.12.1985
5C393202526B11E78DEF549CF4B14D54;eka;16.06.2017;P100421817;Fbjuqtee;Angelique Maria;;;;24.08.1973
5C393203526B11E78DEF549CF4B14D54;eka;16.06.2017;M100723773;Beokin;Alke;;;;08.01.1984
5C393204526B11E78DEF549CF4B14D54;eka;16.06.2017;S101612149;Bibben;Cora;;;;04.02.1979
5C393205526B11E78DEF549CF4B14D54;eka;16.06.2017;R101826610;GÄCKIO;Lilly-Leanne;;;;17.07.1992
5C393206526B11E78DEF549CF4B14D54;eka;16.06.2017;V100416555;WOITHEGEN;Emmanuel Koffi;;;;24.06.1970
5C393207526B11E78DEF549CF4B14D54;eka;16.06.2017;J101259443;LENGNOSSCH;Karina;;;;31.01.1952
5C395910526B11E78DEF549CF4B14D54;eka;16.06.2017;O100383458;Rhkeuw;Gergana;;;;23.03.1950
5C395911526B11E78DEF549CF4B14D54;eka;16.06.2017;H101676798;HÄIGCHSCHEEFFEN;Anna Mareike;;;;12.08.1977
5C395912526B11E78DEF549CF4B14D54;eka;16.06.2017;Y101347315;Giermeyer;Marc-Thilo;;;;07.09.1971
5C395913526B11E78DEF549CF4B14D54;eka;16.06.2017;S101082749;PUCKmeyer;Heinz-Henning;;;;25.02.1978
5C395914526B11E78DEF549CF4B14D54;eka;16.06.2017;J100721684;ELPINCELEDT;Bernhard-Paul;;;;15.06.1988
5C395915526B11E78DEF549CF4B14D54;eka;16.06.2017;X100732419;PLEISRRKE;Sahbender;;;;15.03.1971
5C395916526B11E78DEF549CF4B14D54;eka;16.06.2017;A101018469;PLECZIK;Dietrich-Rainer;;;;03.09.1992
5C395917526B11E78DEF549CF4B14D54;eka;16.06.2017;V101147542;Nokudimäs;Saheed;;;;30.03.1957
5C395918526B11E78DEF549CF4B14D54;eka;16.06.2017;H101834096;Wkeklin-Dottrirr;Adelaide;;;;29.05.1956
5C398020526B11E78DEF549CF4B14D54;eka;16.06.2017;K100446643;KUPPLOW;Kee Chang David;;;;08.06.1961
5C398021526B11E78DEF549CF4B14D54;eka;16.06.2017;I101765128;IÄFMUTH;Laura Christina;;;;06.05.1977
